temakode;objekttype;geometri
4475;KultLandOmr;FTEMA
4475;KultLandGr;LTEMA
4475;KultLandOmr;PTEMA
45;TurOgFriluftsrute;LTEMA
4500;GeolAvgrLinje;LTEMA
4501;MalmOmr;FTEMA
4502;IndustrimineralOmr;FTEMA
4503;NatursteinOmr;FTEMA
4504;PukkOmr;FTEMA
4505;SandGrusOmr;FTEMA
4507;LeirOmr;FTEMA
4508;TorvOmr;FTEMA
4509;GrunnvannOmr;FTEMA
4510;MineralskRastoffOmr;FTEMA
4511;MalmRegistrering;FTEMA
4512;IndustrimineralRegistrering;FTEMA
4513;NatursteinRegistrering;FTEMA
4514;PukkRegistrering;FTEMA
4515;SandGrusRegistrering;FTEMA
4516;Esker;LTEMA
4517;LeirRegistrering;FTEMA
4518;TorvRegistrering;FTEMA
4519;GrunnvannRegistrering;FTEMA
4521;MalmObservasjon;PTEMA
4522;IndustrimineralObservasjon;PTEMA
4523;NatursteinObservasjon;PTEMA
4524;PukkUttak;FTEMA
4525;SandGrusUttak;FTEMA
4526;GrusPukkRastoffPkt;PTEMA
4527;LeirObservasjon;PTEMA
4528;TorvObservasjon;PTEMA
4529;GrunnvannObservasjon;PTEMA
4530;RastoffUttak;FTEMA
4531;RastoffSpesialOmr;FTEMA
4532;GruveromOmr;FTEMA
4533;RastoffDeponi;FTEMA
4534;RastoffSikringssone;FTEMA
4535;RastoffSikringsgjerde;LTEMA
4537;RastoffProvePkt;PTEMA
4538;SandGrusObservasjon;PTEMA
4539;PukkObservasjon;PTEMA
4540;LosmasseFlate;FTEMA
4540;LosmasseGrense;LTEMA
4541;LosmasseFlateSkjult;FTEMA
4542;AnnenLosmasseFlate;FTEMA
4543;MektighetFlate;FTEMA
4544;HavdypFlate;FTEMA
4544;HavdypPkt;PTEMA
4545;MarinGrenseFlate;FTEMA
4545;MarinGrense;LTEMA
4546;LosmasseOverflateform;FTEMA
4546;LosmasseOverflateformLinje;LTEMA
4546;LosmasseOverflateformPkt;PTEMA
4547;AnnetLosmassePkt;PTEMA
4548;StratigrafiPkt;PTEMA
4549;LosmasseBorehull;PTEMA
4551;KvikkleireOmr;FTEMA
4551;KvikkleireOmrAvgr;LTEMA
4552;KvikkleireFaresone;FTEMA
4552;KvikkleireFaresoneAvgr;LTEMA
4553;PotensieltSkredfareOmr;FTEMA
4554;LosmasseProvePkt;PTEMA
4555;GeolVerneverdigOmr;FTEMA
4555;GeolVerneverdigOmr;PTEMA
4556;GeolVerneverdigObj;FTEMA
